Size;Instance_Name;#Node;#Truck;Capacity;Optimal_Cost;Cost_NoOpt;Apx_NoOpt;Execution_time_NoOpt;Cost_2Opt;Apx_2Opt;Execution_time_2Opt;Cost_3Opt;Apx_3Opt;Execution_time_3Opt;Cost_3Opt_Timeout;Apx_3Opt_Timeout;Execution_time_3Opt_Timeout
small;A-n44-k6.vrp;44;6;100;939.3346964376051;1684.6679726010532;1.7934693341895058;0.00037543100000902996;1210.8071949386222;1.2890050793722059;0.0008231569999850308;1164.8582750697713;1.2400886281401684;0.004807540000001609;;;
small;A-n45-k6.vrp;45;6;100;944.8763669421223;1422.216410970969;1.5051878327464674;0.00039965700000266224;1117.663057048291;1.1828669825506943;0.0007591579999939313;1116.0887733978198;1.1812008559487919;0.00402150200000051;;;
small;A-n45-k7.vrp;45;7;100;1147.22098351604;1798.9901916166073;1.5681287367173184;0.0003598320000151034;1372.5545760701627;1.196416902926159;0.0008782510000173716;1345.909820347829;1.1731914249187119;0.0043205199999931665;;;
small;A-n46-k7.vrp;46;7;100;918.461372792691;1356.5128459805178;1.4769405509737217;0.0003710430000012366;1084.6834775798247;1.180978873702348;0.000949964999989561;1029.451528384232;1.120843574786452;0.008270558999981859;;;
small;A-n48-k7.vrp;48;7;100;1074.337824689917;1684.073641040533;1.5675457033513664;0.0003716839999867716;1176.5835971527617;1.0951709696085175;0.0009896480000008978;1153.363772497331;1.0735578195156845;0.005231050999981335;;;
small;B-n31-k5.vrp;31;5;100;676.7582609500149;943.1394631292221;1.393613521326313;0.00032950599998571306;838.6886796797105;1.2392736492087766;0.0006734180000194101;803.6165443363584;1.1874499222340682;0.0036274659999833148;;;
small;B-n34-k5.vrp;34;5;100;791.2402758558225;1040.7775438645122;1.3153748306591002;0.0003237549999823841;1004.6947493945712;1.2697720023261856;0.0007237519999989672;994.6506311301745;1.257077857992427;0.004837776000016447;;;
small;B-n35-k5.vrp;35;5;100;956.29409898826;1039.3843015302375;1.086887708111851;0.0003201880000176516;1004.4484082530803;1.0503551253905745;0.0007337510000127168;1004.0186316482343;1.0499057065294723;0.004329716999990296;;;
small;B-n38-k6.vrp;38;6;100;809.452489572368;991.3337419395262;1.2246966371840375;0.00032718100001716266;938.1008621723263;1.1589325800553445;0.0006524879999858513;918.4446934035301;1.1346492910148964;0.003090229999997973;;;
small;B-n39-k5.vrp;39;5;100;553.2673599367333;813.8933747494733;1.471067035009155;0.0003374310000197056;617.9522222456452;1.1169142931480878;0.0009507259999850248;613.4472226531526;1.1087717567927753;0.00711193399999388;;;
small;B-n41-k6.vrp;41;6;100;834.9577391350781;909.9497881920046;1.0898153829134032;0.00033942400000341877;886.0335371544995;1.06117171639409;0.0008088820000011765;884.3341399985787;1.059136407208644;0.004067518999988806;;;
small;B-n43-k6.vrp;43;6;100;747.5357650288681;871.0981675171854;1.1652929642550889;0.00035148599999956787;830.613271469823;1.111135159449858;0.0008937290000119447;817.3484032816764;1.0933903654096233;0.005371373000002677;;;
small;B-n44-k7.vrp;44;7;100;915.8400817074579;1298.1066425072465;1.4173944430201233;0.0003556239999795707;1221.5574094215776;1.3338108189632318;0.0006541620000177772;1215.7821258078895;1.3275048232669955;0.0031632879999961006;;;
