Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,Cost_NoOpt,Apx_NoOpt,Execution_time_NoOpt,Cost_2Opt,Apx_2Opt,Execution_time_2Opt,Cost_3Opt,Apx_3Opt,Execution_time_3Opt,#Truck_Opt3
large,X-n685-k75.vrp,685,75,408,68237.21553731913,144535.29791795881,2.118130067000053,0.015481762999115745,86609.75126312868,1.2692450971385483,0.05435103700074251,86070.23434627811,1.2613386063387368,0.6214037900008407,81
large,X-n701-k44.vrp,701,44,87,81956.01995940873,238919.57959284767,2.9152169628439744,0.01212404299985792,104626.27620285757,1.276614899731307,0.07290219300011813,104109.32430909011,1.270307225273427,1.2195844289999513,46
large,X-n716-k35.vrp,716,35,1007,43420.6564451652,128315.36433641434,2.9551686879368213,0.01655147100063914,53852.704468851705,1.2402554193730548,0.1252267039999424,53271.53015560132,1.2268706766991542,2.817448499999955,36
large,X-n733-k159.vrp,733,159,25,136218.39404680504,228524.27674030472,1.6776315587877442,0.018132261999198818,185303.69048323057,1.3603426452051672,0.027321506999214762,185232.42349976487,1.3598194634134246,0.055822086998887244,180
large,X-n749-k98.vrp,749,98,396,77303.49914276505,158153.24713182397,2.045874363846643,0.013706355000977055,103662.55246015849,1.340981373543172,0.03680434200032323,103513.01324129106,1.339046930464583,0.1434833000002982,105
large,X-n766-k71.vrp,766,71,166,114461.16180212778,305808.075452987,2.6717191284642556,0.018496382001103484,172363.47837221823,1.5058686777108536,0.07167304699942179,172071.14003985102,1.503314638176705,1.0148986889998923,85
large,X-n783-k48.vrp,783,48,832,72408.31876571494,264272.6914936642,3.6497559396282564,0.014871147999656387,95781.31247607946,1.3227943157469297,0.11007170799894084,95094.52458949694,1.3133093850333097,2.4140322469993407,49
large,X-n801-k40.vrp,801,40,20,73333.97393618312,296185.9341575892,4.03886382068067,0.019634489999589277,90528.2442718608,1.2344652745893812,0.12726124800065008,89933.79834495104,1.2263592645778811,2.5723662590007734,40
large,X-n819-k171.vrp,819,171,358,158148.89835677537,223737.0868308937,1.4147242829738524,0.0162209010013612,195790.4006718087,1.2380130541922343,0.033083248999901116,195697.24487216858,1.237424015630423,0.05943580600069254,189
large,X-n837-k142.vrp,837,142,44,193784.91639895606,355167.814017762,1.8327939068619654,0.016597784999248688,264819.3247782902,1.3665631448481341,0.03662403400085168,264745.7777802815,1.3661836158353742,0.08405395299996599,154
