Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,Cost_NoOpt,Apx_NoOpt,Execution_time_NoOpt,Cost_2Opt,Apx_2Opt,Execution_time_2Opt,Cost_3Opt,Apx_3Opt,Execution_time_3Opt
large,X-n524-k153.vrp,524,None,125,154639.25890297085,240515.31102227414,1.5553315033227535,0.007237689000248793,206538.6591819349,1.3356159402673327,0.014278882999860798,206538.6591819349,1.3356159402673327,0.030700301998876967
large,X-n536-k96.vrp,536,None,371,94872.74640638653,140774.74634582584,1.4838270386188517,0.007461528000931139,120954.63549883998,1.2749144520464488,0.01690365899958124,120227.17828511295,1.2672467366984501,0.06492633200105047
large,X-n548-k50.vrp,548,None,11,86722.27757710981,226874.52286914727,2.616104295316967,0.007899324000391061,109703.07992235635,1.264993067378944,0.02725374399960856,108274.15448018898,1.2485160388449916,0.24594098599845893
large,X-n561-k42.vrp,561,None,74,42739.652695945704,105120.58696089518,2.459556414946417,0.008003177999853506,49823.09724376004,1.1657347241028535,0.03370501700010209,49216.25287570738,1.151536097540073,0.4401483190013096
large,X-n573-k30.vrp,573,None,210,50717.884979878174,114470.7349760395,2.257009238880025,0.00867273599942564,68378.34762521395,1.3482097617505617,0.055790821001210134,66462.1880778996,1.310429015410793,1.2740245660006622
large,X-n586-k159.vrp,586,None,28,190355.10222372148,289789.9438372207,1.5223649928575855,0.011412644000301952,261199.2874906618,1.3721685651676319,0.018823178999809898,259678.1728688022,1.3641776334611004,0.027184774000488687
large,X-n599-k92.vrp,599,None,487,108482.05871611243,205920.36408479436,1.8981974210470047,0.009200770999086672,146538.38629138013,1.3508075715529848,0.020117553000090993,142092.1177624288,1.3098213607309095,0.06060975999935181
large,X-n613-k62.vrp,613,None,523,59548.304940199545,129305.14070146265,2.1714327692671573,0.009593393999239197,71577.98841271864,1.2020155482947787,0.028805666999687674,71577.98841271864,1.2020155482947787,0.2062655839999934
large,X-n627-k43.vrp,627,None,110,62199.04938685801,188580.20065097502,3.0318823600995417,0.009808975000851206,87413.66745679203,1.405385907316802,0.0465574599984393,87413.66745679203,1.405385907316802,0.6079781119988183
large,X-n641-k35.vrp,641,None,1381,63697.83808523143,214744.11180103055,3.3712935675099427,0.010201019000305678,78787.29838715817,1.2368912471053752,0.05940761399870098,78787.29838715817,1.2368912471053752,1.3613947600006213
large,X-n655-k131.vrp,655,None,5,106810.59956566418,150964.92905503773,1.4133890238321216,0.010676124000383425,124902.61101029314,1.1693840453868674,0.022021361999577493,124902.61101029314,1.1693840453868674,0.045829721000700374
large,X-n670-k130.vrp,670,None,129,146378.31843753328,270495.86697543843,1.8479230384851848,0.011134267000670661,220891.138789941,1.5090427403987836,0.022666619001029176,220272.88869879427,1.5048190951366571,0.057491292000122485
large,X-n685-k75.vrp,685,None,408,68237.21553731913,144535.29791795881,2.118130067000053,0.011697988999003428,88476.49034844161,1.2966017099577218,0.046134670001265476,85894.53234475983,1.2587637357181414,0.7285372289989027
large,X-n701-k44.vrp,701,None,87,81956.01995940873,238919.57959284767,2.9152169628439744,0.012095189998944988,106499.33884480031,1.2994693848914018,0.06535559899930377,106499.33884480031,1.2994693848914018,1.5585708979997435
