Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,Cost_NoOpt,Apx_NoOpt,Execution_time_NoOpt,Cost_2Opt,Apx_2Opt,Execution_time_2Opt,Cost_3Opt,Apx_3Opt,Execution_time_3Opt,#Truck_Opt3
large,X-n513-k21.vrp,513,21,142,24224.86420176902,86623.86627550737,3.5758246384382897,0.006769051999981457,28841.805861528515,1.1905868954023833,0.12480585899993457,27297.971622468656,1.126857570597866,3.7539118519998738,21
large,X-n524-k153.vrp,524,153,125,154639.25890297085,240515.31102227414,1.5553315033227535,0.0071487239997622964,212498.5012900285,1.3741562317196678,0.01520418600011908,212377.93059193686,1.3733765416270807,0.03930123200007074,191
large,X-n536-k96.vrp,536,96,371,94872.74640638653,140774.74634582584,1.4838270386188517,0.007395537999855151,118746.39925016896,1.2516386817929763,0.019622945000264735,118519.17912512747,1.2492436828744438,0.09669649599982222,107
large,X-n548-k50.vrp,548,50,11,86722.27757710981,226874.52286914727,2.616104295316967,0.007690821000323922,109650.56383345314,1.264387501077292,0.03358226599993941,109404.66420715686,1.2615520171259205,0.24934132099997441,50
large,X-n561-k42.vrp,561,42,74,42739.652695945704,105120.58696089518,2.459556414946417,0.008141275000070891,50118.7245877778,1.172651657801891,0.04602315600004658,49038.946634910906,1.1473875790189272,0.4995088539999415,43
large,X-n573-k30.vrp,573,30,210,50717.884979878174,114470.7349760395,2.257009238880025,0.008277821999854496,66963.3755342802,1.3203108836428663,0.08439734800003862,66399.81126558581,1.3091991373837708,1.8866717040000367,35
large,X-n586-k159.vrp,586,159,28,190355.10222372148,289789.9438372207,1.5223649928575855,0.01212580799983698,266101.8592794845,1.397923439775935,0.01661908999994921,266095.7630156635,1.3978914140316825,0.025542465999933484,182
large,X-n599-k92.vrp,599,92,487,108482.05871611243,205920.36408479436,1.8981974210470047,0.012349554000138596,144985.84889923705,1.3364961046568233,0.021669253000254685,144801.68222942195,1.3347984352726439,0.06195375300012529,100
large,X-n613-k62.vrp,613,62,523,59548.304940199545,129305.14070146265,2.1714327692671573,0.00942420499995933,72814.75032512913,1.2227846014802977,0.034738009000193415,72081.14248213288,1.2104650594927806,0.2150504640003419,65
large,X-n627-k43.vrp,627,43,110,62199.04938685801,188580.20065097502,3.0318823600995417,0.009913017999679141,88550.59173389101,1.4236647120301615,0.055947650999769394,88193.60898684204,1.417925351853953,0.6684956310000416,45
large,X-n641-k35.vrp,641,35,1381,63697.83808523143,214744.11180103055,3.3712935675099427,0.010125767000317865,78940.32353277871,1.239293607220263,0.08092083000019556,78275.17885985576,1.2288514212227895,1.5666150110000672,36
large,X-n655-k131.vrp,655,131,5,106810.59956566418,150964.92905503773,1.4133890238321216,0.010530345999995916,125165.266894566,1.1718431260899147,0.023100896999949327,125136.40577162128,1.1715729176736895,0.04834924300030252,131
large,X-n670-k130.vrp,670,130,129,146378.31843753328,270495.86697543843,1.8479230384851848,0.011058134999984759,220128.4176365524,1.5038321247725759,0.025626724000176182,219979.3689709887,1.5028138819948567,0.07244914400007474,174
large,X-n685-k75.vrp,685,75,408,68237.21553731913,144535.29791795881,2.118130067000053,0.011380560000361584,86609.75126312868,1.2692450971385483,0.05439695999984906,86070.23434627811,1.2613386063387368,0.6212224620003326,81
large,X-n701-k44.vrp,701,44,87,81956.01995940873,238919.57959284767,2.9152169628439744,0.011897159000000102,104626.27620285757,1.276614899731307,0.07359322499996779,104109.32430909011,1.270307225273427,1.2222550589999628,46
large,X-n716-k35.vrp,716,35,1007,43420.6564451652,128315.36433641434,2.9551686879368213,0.012328637999871717,53852.704468851705,1.2402554193730548,0.12659225300012622,53271.53015560132,1.2268706766991542,2.867202485999769,36
large,X-n733-k159.vrp,733,159,25,136218.39404680504,228524.27674030472,1.6776315587877442,0.013100430000122287,185303.69048323057,1.3603426452051672,0.02727887399987594,185232.42349976487,1.3598194634134246,0.05422858800011454,180
large,X-n749-k98.vrp,749,98,396,77303.49914276505,158153.24713182397,2.045874363846643,0.013416143000085867,103662.55246015849,1.340981373543172,0.037379159000010986,103513.01324129106,1.339046930464583,0.1452701549997073,105
large,X-n766-k71.vrp,766,71,166,114461.16180212778,305808.075452987,2.6717191284642556,0.014167682999868703,172363.47837221823,1.5058686777108536,0.07204975600006946,172071.14003985102,1.503314638176705,1.0251055200001247,85
large,X-n783-k48.vrp,783,48,832,72408.31876571494,264272.6914936642,3.6497559396282564,0.01459057700003541,95781.31247607946,1.3227943157469297,0.10986045700019531,95094.52458949694,1.3133093850333097,2.418320402000063,49
large,X-n801-k40.vrp,801,40,20,73333.97393618312,296185.9341575892,4.03886382068067,0.015228995000143186,90528.2442718608,1.2344652745893812,0.12851366800032338,89933.79834495104,1.2263592645778811,2.578658608999831,40
large,X-n819-k171.vrp,819,171,358,158148.89835677537,223737.0868308937,1.4147242829738524,0.015974073000052158,195790.4006718087,1.2380130541922343,0.03270863999978246,195697.24487216858,1.237424015630423,0.05967297500001223,189
large,X-n837-k142.vrp,837,142,44,193784.91639895606,355167.814017762,1.8327939068619654,0.016599987000063265,264819.3247782902,1.3665631448481341,0.036675420999927155,264745.7777802815,1.3661836158353742,0.08509053000034328,154
large,X-n856-k95.vrp,856,95,9,89013.59855624012,164699.30007470574,1.8502712253639118,0.02167377200021292,102723.37205863954,1.1540188659347075,0.051479450999977416,102154.38906428221,1.1476267752475993,0.24481089400023848,95
large,X-n876-k59.vrp,876,59,764,99356.19354150473,254719.3592439975,2.5636988512205012,0.01816703599979519,125954.23203472538,1.2677038798000013,0.0927801319999162,125247.74915388966,1.2605932724422366,1.1015569309997773,62
large,X-n895-k37.vrp,895,37,1816,53898.675359403234,229979.5673518697,4.266887188197792,0.018716796999797225,64670.78895311976,1.1998585961878785,0.20012314699988565,62861.65263822143,1.1662930901186703,4.916728482999588,38
large,X-n916-k207.vrp,916,207,33,329222.3593754837,526574.445998195,1.5994492202688695,0.019875134999892907,454548.78824240714,1.380674110666908,0.03966689199978646,454542.2516485463,1.3806542560195103,0.06720630799964056,231
large,X-n936-k151.vrp,936,151,138,132768.74131236685,265545.14886609395,2.0000577413123337,0.020241020999947068,200684.11212072102,1.5115313298675381,0.05495726300023307,200311.43440033117,1.508724361023019,0.2618123420002121,205
large,X-n957-k87.vrp,957,87,11,85517.72782106075,220344.53366836358,2.576594810019012,0.021209598000041296,112495.33887931856,1.3154622058563854,0.07490515500012407,112047.14792886004,1.3102212931020578,0.4808385320002344,87
