Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,CW_cost,APX,Execution_time,Status,Used_Truck
small,P-n20-k2.vrp,20,2,160,217.41558334616656,233.99511295328986,1.0762573195166307,0.0005544299999939994,Finished86400,2
small,P-n21-k2.vrp,21,2,160,212.71153970290385,236.18543149413827,1.1103555163204621,0.0005882039999960398,Finished86400,2
small,P-n22-k2.vrp,22,2,160,217.8521507402297,239.4991399931231,1.0993655062818526,0.0006581939999819042,Finished86400,2
small,P-n22-k8.vrp,22,8,3000,601.4237061659817,590.6210234857078,0.9820381495283252,0.0008475099999998292,Finished86400,9
small,P-n23-k8.vrp,23,8,40,531.1738035458812,539.4753861721704,1.015628750083064,0.0009213080000165519,Finished86400,9
small,P-n40-k5.vrp,40,5,140,461.7261717631887,518.3720297625708,1.1226827965654822,0.0019167150000214406,Finished86400,5
small,P-n45-k5.vrp,45,5,150,512.7913045095214,573.3307371215328,1.118058617764427,0.0023668999999983953,Finished86400,5
small,P-n50-k10.vrp,50,10,100,699.5615304783074,739.837582073187,1.057573279604643,0.0034560830000032183,Finished86400,11
small,P-n50-k7.vrp,50,7,150,559.8625135512013,594.6712381517392,1.0621737011462806,0.0032260510000128306,Finished86400,7
small,P-n50-k8.vrp,50,8,120,634.8499103018386,666.841499245342,1.050392365855881,0.0033949079999899823,Finished86400,9
