Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,CW_cost,APX,Execution_time,Status
mid,X-n186-k15.vrp,186,None,974,24154.291268175097,25611.433394485015,1.0603264285477008,0.09406024699998738,Finished
mid,X-n190-k8.vrp,190,None,138,16985.85965815717,17980.28953812675,1.0585445717780921,0.10252112800000646,Finished
mid,X-n195-k51.vrp,195,None,181,44229.3103670945,45725.8446975914,1.0338358052177608,0.12222243200000094,Finished
mid,X-n200-k36.vrp,200,None,402,58581.48464689695,61208.10799266723,1.0448370907907574,0.13299666000000343,Finished
mid,X-n204-k19.vrp,204,None,836,19568.426556886145,21339.34166245795,1.0904985947860288,0.09234156599998755,Finished
mid,X-n209-k16.vrp,209,None,101,30660.39401012465,32959.92118925546,1.074999922648465,0.12459494499998414,Finished
mid,X-n214-k11.vrp,214,None,944,10868.369072249128,11871.216588324338,1.09227212559756,0.1530060750000075,Finished
mid,X-n219-k73.vrp,219,None,3,117601.29001838483,118368.80035760731,1.0065263768713975,0.2324537140000018,Finished
mid,X-n223-k34.vrp,223,None,37,40437.947509756355,42357.69533275638,1.0474739184657396,0.15443447699999524,Finished
mid,X-n228-k23.vrp,228,None,154,25746.626508506168,27460.373455392404,1.0665619997369382,0.14055141400001503,Finished
mid,X-n233-k16.vrp,233,None,631,19239.224070740955,20817.67960685755,1.0820436172640202,0.11385595600000897,Finished
mid,X-n237-k14.vrp,237,None,18,27050.769538670516,29383.269415674797,1.0862267475854928,0.1704529799999932,Finished
mid,X-n242-k48.vrp,242,None,28,82757.21927576141,85490.41876899563,1.0330267198095036,0.23559188499999095,Finished
mid,X-n247-k50.vrp,247,None,134,37282.91645455028,40739.427568776046,1.092710319978305,0.24961541299998657,Finished
