Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,CW_cost,APX,Execution_time,Status
mid_large,Loggi-n401-k23.vrp,401,None,100,336903.0,347633.0,1.0318489298106577,0.8306483239999807,Finished
mid_large,ORTEC-n323-k21.vrp,323,None,100,214071.0,230773.0,1.0780208435519056,0.30620826699998815,Finished
mid_large,ORTEC-n405-k18.vrp,405,None,160,200986.0,215135.0,1.0703979381648474,0.4951553669999953,Finished
mid_large,ORTEC-n455-k41.vrp,455,None,70,292485.0,305284.0,1.0437595090346514,0.9042999420000228,Finished
mid_large,tai385.vrp,386,None,65,None,25722.35544998037,None,0.6618683009999984,Finished
mid_large,X-n251-k28.vrp,251,None,69,38690.425121260014,41120.6370468094,1.0628117142143783,0.21266982800000278,Finished
mid_large,X-n256-k16.vrp,256,None,1225,18847.64536111926,20952.328215184614,1.111668211797273,0.1308240329999819,Finished
mid_large,X-n261-k13.vrp,261,None,1081,26564.880001915062,28915.371815183425,1.088481175638622,0.22897798600001806,Finished
mid_large,X-n266-k58.vrp,266,None,35,75489.08620023358,78995.4721637419,1.0464489125515135,0.3502091729999961,Finished
mid_large,X-n270-k35.vrp,270,None,585,35290.73392868522,37252.9512968788,1.0556014893926202,0.22034653500000445,Finished
mid_large,X-n275-k28.vrp,275,None,10,21250.145366637433,22587.63617856428,1.0629403135296522,0.22692791500000453,Finished
mid_large,X-n280-k17.vrp,280,None,192,33503.46202277754,35422.2610144377,1.0572716631599344,0.30744276699999773,Finished
mid_large,X-n284-k15.vrp,284,None,109,20236.988928206607,22052.083691655906,1.089691938355483,0.3364598979999869,Finished
mid_large,X-n289-k60.vrp,289,None,267,95160.55111655206,98423.19473256421,1.0342856738189345,0.43784063100000026,Finished
mid_large,X-n294-k50.vrp,294,None,285,47172.6649088552,48533.5697205702,1.0288494367308796,0.30324379900000054,Finished
mid_large,X-n298-k31.vrp,298,None,55,34246.82220867055,36221.06425749709,1.0576474522744685,0.3057213410000088,Finished
