Size,Instance_Name,#Node,#Truck,Capacity,Opt_cost,Incumbent,APX,Execution_time,Status,Routes
small,E-n33-k4.vrp,33,4,8000,838.7210087828687,841.3538858391114,1.0031391571555641,300.04417189996457,Timeout, [0 13 1 14 31 30 0 0 4 7 9 8 32 11 12 2 0 0 3 5 6 10 18 19 21 20 22 23 24 25 17 15 0 0 26 27 16 28 29 0]
small,F-n45-k4.vrp,45,4,2010,724.5691570372719,747.1548083088636,1.0311711464009086,300.0953232999891,Timeout, [0 20 43 44 28 33 29 27 6 5 7 35 4 3 36 37 1 15 9 24 0 0 30 41 32 31 34 40 39 42 38 0 0 2 16 17 14 13 12 11 18 10 0 0 8 19 22 23 26 25 21 0]
small,P-n16-k8.vrp,16,8,35,451.3350802086181,451.3350802086181,1.0,0.8077942000236362,Optimal, [0 7 14 0 0 10 12 15 0 0 6 0 0 5 9 0 0 2 0 0 11 4 0 0 8 13 0 0 3 1 0]
small,P-n19-k2.vrp,19,2,160,212.6569041858923,212.65690418589233,1.0,0.8218189000035636,Optimal, [0 18 5 13 15 9 7 2 10 1 0 0 6 8 16 17 3 12 14 11 4 0]
small,P-n20-k2.vrp,20,2,160,217.41558334616656,217.41558334616656,1.0,0.7453349000425078,Optimal, [0 4 11 15 12 3 18 17 8 13 10 1 0 0 6 2 7 9 16 14 5 19 0]
small,P-n21-k2.vrp,21,2,160,212.71153970290385,212.71153970290388,1.0,0.6266314999666065,Optimal, [0 20 5 14 17 9 13 7 2 6 0 0 16 1 10 8 18 19 3 12 15 11 4 0]
small,P-n22-k2.vrp,22,2,160,217.8521507402297,217.85215074022966,1.0,0.7663552999729291,Optimal, [0 20 5 14 17 21 7 9 13 2 6 0 0 4 11 15 12 3 19 18 8 10 1 16 0]
small,P-n22-k8.vrp,22,8,3000,600.8255367310456,600.8255367310456,1.0,7.153647100029048,Optimal, [0 7 2 1 6 0 0 9 5 0 0 15 16 0 0 19 0 0 10 8 3 4 0 0 21 17 12 0 0 11 13 0 0 14 20 18 0]
small,P-n23-k8.vrp,23,8,40,531.1738035458812,531.1738035458811,1.0,81.08993670000928,Optimal, [0 2 1 0 0 13 9 17 0 0 22 14 5 0 0 18 19 3 0 0 16 8 0 0 11 15 12 10 0 0 6 20 21 0 0 7 4 0]
small,P-n40-k5.vrp,40,5,140,461.7261717631887,486.23020921416924,1.0530704970814353,300.0357577999821,Timeout, [0 27 1 22 3 35 36 28 31 26 8 6 0 0 12 18 0 0 32 2 20 29 21 16 38 5 0 0 7 23 24 14 25 13 19 4 0 0 11 9 34 30 10 39 33 15 37 17 0]
small,P-n45-k5.vrp,45,5,150,512.7913045095214,547.7685317092644,1.0682094779926081,300.06109420000575,Timeout, [0 27 8 26 31 28 1 11 34 9 38 0 0 4 17 44 42 19 40 41 13 18 0 0 22 3 36 35 20 29 21 16 2 32 0 0 14 25 24 43 7 23 6 0 0 12 37 15 33 39 30 10 5 0]
small,P-n50-k10.vrp,50,10,100,699.5615304783074,790.7388022706402,1.1303348852387476,300.08972819999326,Timeout, [0 1 21 36 20 47 0 0 12 10 31 40 0 0 6 3 44 32 26 0 0 33 22 28 29 34 0 0 48 5 37 15 27 13 0 0 14 11 38 0 0 39 9 25 18 24 0 0 46 8 19 35 7 0 0 4 2 30 45 0 0 17 16 49 23 41 42 43 0]
small,P-n50-k7.vrp,50,7,150,559.8625135512013,705.4834112740616,1.2601011751960114,300.07993300003,Timeout, [0 34 13 27 35 7 18 25 24 49 0 0 26 12 38 11 8 46 0 0 43 42 41 23 3 44 32 40 0 0 45 5 15 20 37 36 47 4 0 0 9 39 31 10 14 19 0 0 17 16 1 22 28 21 48 0 0 29 30 2 33 6 0]
small,P-n50-k8.vrp,50,8,120,634.8499103018386,856.6329240973041,1.3493471609533962,300.088055900007,Timeout, [0 34 45 29 47 21 48 0 0 17 10 31 2 30 0 0 27 13 38 39 44 32 49 0 0 36 43 41 42 1 33 6 0 0 40 9 3 23 22 28 0 0 12 11 14 19 8 0 0 16 24 18 25 26 46 0 0 4 37 20 5 15 35 7 0]
