Size,Instance_Name,#Node,#Truck,Capacity,Opt_cost,Incumbent,APX,Execution_time,Status,Routes
mid_small,CMT2.vrp,76,None,140,835.2621066076043,None,None,0.0015048000495880842,Infeasible, []
mid_small,CMT6.vrp,51,None,160,555.4302364990572,None,None,0.0011593999806791544,Infeasible, []
mid_small,CMT7.vrp,76,None,140,909.675053283213,None,None,0.0008187000639736652,Infeasible, []
mid_small,E-n51-k5.vrp,51,5,160,524.9442369496244,628.2003565314941,1.196699,300.0596292000264,Timeout, [0 37 49 38 32 1 22 28 31 26 8 48 6 0 0 47 18 4 15 45 33 5 11 0 0 46 2 20 35 36 3 7 43 24 23 0 0 17 44 42 19 40 41 13 25 14 0 0 12 10 39 30 34 9 50 21 29 16 27 0]
mid_small,E-n76-k10.vrp,76,10,140,837.3556148786039,1253.4725837717638,1.496942,300.25361869996414,Timeout, [0 75 4 45 15 37 1 33 0 0 51 23 56 42 71 70 60 19 8 34 0 0 46 26 12 32 44 3 17 0 0 7 35 53 14 59 72 50 18 0 0 38 65 52 29 5 20 57 27 0 0 68 74 21 36 69 61 64 28 0 0 58 10 31 55 25 47 48 0 0 67 40 39 9 24 49 0 0 30 2 41 43 22 62 6 0 0 11 66 54 13 73 63 16 0]
mid_small,E-n76-k14.vrp,76,14,100,1026.7063423619143,1362.8688321057402,1.327418,300.41409209999256,Timeout, [0 6 33 1 73 68 75 0 0 35 14 59 53 0 0 16 63 21 47 5 0 0 52 34 7 39 9 0 0 11 66 10 0 0 26 58 72 17 42 64 0 0 12 25 55 31 20 37 0 0 4 30 74 41 43 0 0 24 49 29 45 46 0 0 48 36 69 71 60 70 38 65 0 0 67 32 44 3 51 0 0 23 56 18 50 40 0 0 2 28 61 22 62 0 0 27 15 57 13 54 19 8 0]
mid_small,E-n76-k7.vrp,76,7,220,687.6027698154307,907.6782562413168,1.320062,300.4431066000834,Timeout, [0 75 2 73 1 56 41 43 28 74 30 68 0 0 16 33 4 67 0 0 52 27 57 15 20 70 47 48 3 44 40 17 0 0 34 46 8 35 7 53 38 65 72 39 9 12 0 0 58 10 11 19 54 13 51 24 49 23 63 6 0 0 26 14 59 66 31 25 55 18 50 32 0 0 62 22 42 64 61 21 69 36 71 60 37 5 29 45 0]
mid_small,E-n76-k8.vrp,76,8,180,740.6554097159442,1024.5267861575803,1.383271,300.1841773999622,Timeout, [0 51 1 28 21 74 2 75 0 0 30 45 29 15 57 13 19 8 34 67 0 0 58 10 31 39 9 23 56 63 16 0 0 17 44 24 49 73 69 36 47 48 54 46 0 0 4 27 52 26 3 32 40 12 0 0 7 35 53 11 38 72 25 55 18 50 0 0 5 37 20 70 60 71 61 41 43 33 6 0 0 68 42 64 22 62 14 59 66 65 0]
mid_small,F-n72-k4.vrp,72,4,30000,248.8087975379043,349.4132329042049,1.4043443654799794,300.1159726000624,Timeout, [0 3 5 11 1 64 41 55 54 0 0 9 7 4 8 10 6 71 31 32 34 62 63 65 66 67 68 69 40 38 37 22 21 0 0 36 33 13 12 16 17 2 15 19 58 59 39 70 50 47 48 52 45 53 46 44 43 42 27 28 30 20 0 0 29 23 26 24 25 49 51 57 56 61 60 14 18 35 0]
mid_small,P-n51-k10.vrp,51,10,80,742.4815823234725,826.6110739608556,1.11330852325537,300.14358369994443,Timeout, [0 1 22 28 31 8 48 0 0 38 16 2 11 0 0 3 36 35 20 32 0 0 47 25 14 0 0 6 13 41 19 0 0 46 37 15 17 4 18 0 0 5 49 10 44 42 40 0 0 12 9 34 21 29 0 0 27 23 24 43 7 26 0 0 50 30 39 33 45 0]
mid_small,P-n55-k10.vrp,55,10,115,697.8097119224453,819.5612783595516,1.174476743956005,300.11313439998776,Timeout, [0 7 35 53 14 46 0 0 6 33 43 1 23 16 0 0 9 10 31 39 12 0 0 17 3 44 32 40 0 0 26 38 11 19 8 0 0 5 36 47 21 2 0 0 34 52 27 13 54 0 0 45 29 48 30 4 0 0 25 50 18 37 20 15 0 0 28 22 42 41 24 49 51 0]
