Size,Instance_Name,Optimal_Cost,CW_cost,APX,Execution_time
mid,X-n190-k8.vrp,16980.0,17980.28953812675,1.058909866791917,0.18246899999212474
mid,X-n195-k51.vrp,44225.0,45725.8446975914,1.033936567497827,0.2406942000379786
mid,X-n200-k36.vrp,58578.0,61208.10799266723,1.044899245325331,0.2376636000117287
mid,X-n204-k19.vrp,19565.0,21339.34166245795,1.090689581520979,0.14967720001004636
mid,X-n209-k16.vrp,30656.0,32959.92118925546,1.0751540053906399,0.2330532999476418
mid,X-n214-k11.vrp,10856.0,11871.216588324338,1.0935166348861771,0.23946519999299198
mid,X-n219-k73.vrp,117595.0,118368.80035760731,1.0065802147847043,0.41817170003196225
mid,X-n223-k34.vrp,40437.0,42357.69533275638,1.0474984626148425,0.27579440001863986
mid,X-n228-k23.vrp,25742.0,27460.373455392404,1.066753688734069,0.24627510004211217
mid,X-n233-k16.vrp,19230.0,20817.67960685755,1.0825626420622751,0.18644259998109192
mid,X-n237-k14.vrp,27042.0,29383.269415674797,1.0865790036119665,0.31365000002551824
mid,X-n242-k48.vrp,82751.0,85490.41876899563,1.033104358485041,0.4337507000309415
mid,X-n247-k50.vrp,37274.0,40739.427568776046,1.0929717113477504,0.44147680001333356
