Size,Instance_Name,Optimal_Cost,Sw_cost,opt2,opt3,APX,Execution_time
mid,M-n200-k17.vrp,1275.0,2788.087356499641, 1516.288071552921,1470.4147267622564,1.153266452362554,0.23594800001592375
mid,P-n101-k4.vrp,681.0,1216.2146963882997, 788.1522830168792,723.2462566931994,1.0620356192264309,1.5770615999936126
mid,tai100a.vrp,2041.34,3855.1028483957616, 2752.903911816082,2806.7487222727145,1.3749540607016542,0.043787900009192526
mid,tai100b.vrp,1939.9,3202.8096360665577, 2346.8468997608297,2352.4426868504397,1.2126618314606112,0.25567809998756275
mid,tai100c.vrp,1406.2,3107.139836348741, 2152.821635928595,2122.6986281208237,1.5095282521126607,0.08191870001610368
mid,tai100d.vrp,1580.46,3693.6669761703233, 1931.9286985108238,1978.352301376782,1.2517572740700693,0.32661769998958334
mid,tai150a.vrp,3055.23,5544.295791171098, 3888.570923467397,3930.0824174446147,1.2863458454665,0.10614629997871816
mid,tai150b.vrp,2646.47,5933.259595897975, 3555.4210981924098,3598.2176117521176,1.3596290952673251,0.30431430001044646
mid,tai150c.vrp,2358.66,5012.6388684806625, 3333.0757121187244,3315.1241784253148,1.4055116796932643,0.16951080001308583
mid,tai150d.vrp,2645.39,4997.698501309615, 3492.8768501466543,3500.4467393751324,1.3232252104132596,1.0263074999966193
mid,X-n101-k25.vrp,27591.0,37820.66581456943, 35068.893079730304,36533.204806723086,1.3240986121098577,0.0019344999745953828
mid,X-n106-k14.vrp,26362.0,41408.29230905716, 30872.656796418985,30967.189644342525,1.17469045005472,0.02377070000511594
mid,X-n110-k13.vrp,14971.0,24575.828819177466, 16858.09074118429,16789.176093806345,1.121446536223789,0.031625600007828325
mid,X-n115-k10.vrp,12747.0,27493.9928338913, 16680.042915920327,17002.544428899582,1.3338467426766756,0.19295249998685904
mid,X-n120-k6.vrp,13332.0,46254.83954342709, 14877.138536562183,15193.32729281123,1.1396135083116734,0.9686177999828942
mid,X-n125-k30.vrp,55539.0,73654.54398098048, 71225.18403809438,71199.07338684074,1.281965346636431,0.007915599999250844
mid,X-n129-k18.vrp,28940.0,55283.76930421363, 37822.95193493875,37813.98588340939,1.3066339282449686,0.027790099993580952
mid,X-n134-k13.vrp,10916.0,24651.719147112417, 14743.857523313702,14732.842977308019,1.349655824231222,0.27003770001465455
mid,X-n139-k10.vrp,13590.0,27606.46339476167, 15873.897352363569,15463.912706248191,1.1378890880241495,0.29355909998412244
mid,X-n143-k7.vrp,15700.0,51076.71770407302, 18745.86231484026,18431.906052194725,1.1740067549168614,1.605588300008094
mid,X-n148-k46.vrp,43448.0,64096.26442644726, 57341.7321845254,59644.483985602405,1.3727785855644081,0.002304400026332587
mid,X-n153-k22.vrp,21220.0,36059.87586585358, 28176.323780272658,28643.522512822157,1.3498361221876605,0.08644300000742078
mid,X-n157-k13.vrp,16876.0,26424.828200593147, 18333.70821365626,18113.248278693918,1.0733140719775964,0.19572419999167323
mid,X-n162-k11.vrp,14138.0,29676.303751738636, 16483.8416918045,15930.2962980182,1.1267715587790494,0.5240311000088695
mid,X-n167-k10.vrp,20557.0,63081.35896281501, 24265.568204719224,24124.91669003522,1.173562129203445,0.7902938000042923
mid,X-n172-k51.vrp,45607.0,69385.16123283758, 61100.17284252041,61799.48455145798,1.3550438430823772,0.014246899983845651
mid,X-n176-k26.vrp,47812.0,95140.22903426594, 69799.56426169063,69912.925404674,1.4622464110406173,0.048783900012494996
mid,X-n181-k23.vrp,25569.0,40559.811800291594, 28720.02874804822,28801.08891276846,1.126406543578883,0.047092099994188175
mid,X-n186-k15.vrp,24145.0,58543.511585563756, 28652.55925109412,28345.424320079775,1.1739666316040496,0.6087370000022929
mid,X-n190-k8.vrp,16980.0,53539.57275275713, 19460.136469971938,19133.37668502964,1.1268184149016278,10.136518100014655
mid,X-n195-k51.vrp,44225.0,66134.36214899497, 59432.56325347204,61013.50345644164,1.3796156801908794,0.0032601000275462866
mid,X-n200-k36.vrp,58578.0,80237.17220521842, 68365.87825877547,68564.21925371041,1.1704772995614465,0.03228149999631569
mid,X-n204-k19.vrp,19565.0,42485.12116105846, 23702.53493392499,23607.77914913537,1.2066332302139213,0.21171709999907762
mid,X-n209-k16.vrp,30656.0,84697.56547624036, 36669.055425495855,36595.36781847324,1.1937424262289027,0.38240469997981563
mid,X-n214-k11.vrp,10856.0,33548.92452936743, 13501.379228319502,13603.242778793405,1.2530621572212053,1.4308482999913394
mid,X-n219-k73.vrp,117595.0,158122.46966402145, 145726.01662536996,158122.46966402145,1.3446359935713377,0.0011906000145245343
mid,X-n223-k34.vrp,40437.0,64182.28110572043, 50031.344216559264,50118.48839001672,1.2394215295401914,0.0289164999849163
mid,X-n228-k23.vrp,25742.0,51368.108999099204, 33571.969300943696,34627.11250115035,1.3451601468864252,0.39971470000455156
mid,X-n233-k16.vrp,19230.0,42957.65082199238, 22450.043963211945,22503.580696370576,1.1702330055314911,2.4291074000066146
mid,X-n237-k14.vrp,27042.0,89337.97247769903, 33044.389747024434,32689.567789065357,1.2088443084485376,1.2632368999766186
mid,X-n242-k48.vrp,82751.0,135668.72988767657, 113468.7664957589,114809.25019975274,1.387406196900977,0.010718600009568036
mid,X-n247-k50.vrp,37274.0,61692.623336893026, 53076.76118128316,53398.472139224854,1.4325930176322599,0.07104790001176298
